verdict	category	detector	value_redacted	value_sha256	is_pem	hand_reviewed	location	reason
FP	package-hash	AzureDevopsPersonalAccessToken	0766a4***fc4	22984964bdfabc24	no	no	/nix/store/hjxd6dd89ky8whv01ld0s5s85hgmpkk3-nixpkgs/nixpkgs/pkgs/development/r-modules/cran-packages.nix	
FP	package-hash	Gitlab	font-a***s-4	ec407069e9a0dd3f	no	no	/var/lib/dpkg/info/gitlab-ee.md5sums	
FP	package-hash	Box	8a31b8***fc1	9a72ed054ea4e5e9	no	no	/var/lib/apt/lists/deb.debian.org_debian_dists_buster_main_binary-amd64_Packages.lz4	
FP	package-hash	Box	62a37f***952	f4f343839c36806b	no	no	/var/lib/dpkg/info/ubuntu-mono.md5sums	
FP	package-hash	Box	b18f6c***39a	bc04ded7907cb128	no	no	/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_jammy_universe_binary-amd64_Packages.lz4	
FP	binary/asset	Box	npv8e4***4vo	9756474ad1dca77c	no	no	/usr/lib/x86_64-linux-gnu/libgnutls.a	
FP	example/placeholder	URI	http:/***unk	8f6245335d1e1a7d	no	no	/usr/share/locale/de/LC_MESSAGES/bzr.mo	
FP	package-hash	Box	d34299***31c	63201d713df2c1be	no	no	/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_bionic-updates_multiverse_binary-amd64_Packages.lz4	
FP	package-hash	Box	19ae9b***c37	b447c4e66585f167	no	no	/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_xenial-updates_main_i18n_Translation-en	
FP	package-hash	Alchemy	45c37f***46d	0815c58412e81081	no	no	/var/lib/apt/lists/archive.ubuntu.com_ubuntu_dists_trusty_main_binary-amd64_Packages	
FP	bare-hash	JDBC	jdbc:m******	385efbf5b708155c	no	no	/var/lib/mysql/ibdata1	
FP	example/placeholder	URI	https:***com	52260e340ae410ae	no	no	/app/node_modules/@types/node/ts4.8/url.d.ts	
FP	test-fixture	PrivateKey	<PEM-PRIVATE-KEY len=64>	0b76318d9aaa93d4	yes	no	/etc/ssl/private/ssl-cert-snakeoil.key	
FP	package-hash	Box	63123f***7a9	6b4eb262ebdfe6bc	no	no	/var/lib/apt/lists/deb.debian.org_debian_dists_bookworm_main_binary-amd64_Packages.lz4	
FP	example/placeholder	FTP	ftp://***com	e3c72d142149f72e	no	no	/usr/share/locale/en_AU/LC_MESSAGES/bzr.mo	
FP	bare-hash	Circle	5f0a78***43f	fa1393fff9412357	no	no	/opt/yarn-v1.22.22/README.md	
FP	example/placeholder	URI	http:/***ath	a4ca37a10605ad83	no	no	/usr/lib/python2.7/site-packages/pip/_vendor/requests/packages/urllib3/util/url.pyc	
